🧘 **Yoga Flow**\nMorgen-Routine · ca. 20 Minuten;;;;
**Ankommen** 🌅\n\nMatte ausrollen, bequeme Kleidung.\nSetze dich im Schneidersitz.\n\nSchließe die Augen.\n3 tiefe Atemzüge — **ein** durch die Nase, **aus** durch den Mund.;🌅;;30s;auto
**Katzenkuh** 🐱\n\nKomm in den **Vierfüßerstand**.\n\n*Einatmen:* Bauch sinkt, Blick nach oben → **Kuh**\n*Ausatmen:* Rücken rund, Kinn zur Brust → **Katze**\n\nWiederholen im eigenen Atemrhythmus.;🐱;;60s;auto
**Herabschauender Hund** 🐕\n\nZehen eingraben, Hüfte nach oben hinten schieben.\nFersen Richtung Boden drücken — müssen nicht aufliegen.\n\nKopf hängt locker, Nacken entspannt.\n**5 Atemzüge** halten.;🐕;;30s;auto
**Vorwärtsbeuge** 🙇\n\nLangsam nach vorne gehen zum **Vorwärtsfalten**.\nKnie leicht gebeugt, Oberkörper hängt schwer.\n\nHände am Boden oder an den Unterschenkeln.\n**5 tiefe Atemzüge.**;🌿;;30s;auto
**Bergpose & Arme strecken** 🏔️\n\nWirbel für Wirbel aufrichten zum **aufrechten Stand**.\n\n*Einatmen:* Arme seitlich nach oben führen, Handflächen berühren sich.\n*Ausatmen:* Arme sinken lassen.\n\n**5× wiederholen.**;🏔️;;45s;auto
**Krieger I — rechts** ⚔️\n\nRechten Fuß nach vorne setzen, linker Fuß 45° gedreht.\n\nHüfte gerade nach vorne, **Knie über dem Knöchel**.\nArme über den Kopf strecken.\n\n**5 Atemzüge** halten.;🌟;;30s;auto
**Krieger I — links** ⚔️\n\nSeite wechseln.\nLinker Fuß vorne, rechter Fuß 45° gedreht.\n\nHüfte gerade nach vorne, **Knie über dem Knöchel**.\nArme über den Kopf strecken.\n\n**5 Atemzüge** halten.;🌟;;30s;auto
**Krieger II — rechts** 🏹\n\nRechter Fuß vorne, Arme seitlich auf Schulterhöhe.\n\nBlick über die **rechte Hand**.\nHüfte öffnet zur Seite.\n\n**5 Atemzüge.**;🏹;;30s;auto
**Krieger II — links** 🏹\n\nSeite wechseln.\nLinker Fuß vorne, Arme seitlich.\n\nBlick über die **linke Hand**.\n\n**5 Atemzüge.**;🏹;;30s;auto
**Kind-Pose** 🌙\n\nKnie auf die Matte, Hüfte zu den Fersen senken.\nArme nach vorne strecken oder neben dem Körper ablegen.\n\nStirn auf die Matte. **Vollständig loslassen.**\n**10 Atemzüge.**;🌙;;60s;auto
**Liegende Drehung** 🌀\n\nAuf den Rücken legen.\nRechtes Knie zur Brust, dann zur **linken Seite** führen.\nArme ausgestreckt, Blick nach rechts.\n\n**5 Atemzüge**, dann Seite wechseln.;🌀;;60s;auto
**Savasana** ✨\n\nFlach auf den Rücken legen.\nArme leicht vom Körper, Beine entspannt ausgestreckt.\n\n**Nichts tun. Einfach sein.**\nAugen geschlossen.;✨;;120s;auto
**Abschluss** 🙏\n\nLangsam die Finger und Zehen bewegen.\nDich zur Seite rollen, aufsetzen.\n\nHände vor dem Herzen.\n*Namaste* 🙏;🙏;;20s;
